event_id,batch,track_name,beat_start,beat_duration,bar_index,section,source_row_start,source_row_end,pitch_midi,pitch_name,velocity,channel,program,scale,register_signal,motion_signal,direction_signal,direction_local_average,direction,scale_steps,tension_signal,growth_mass,leaf_energy,root_energy,vitality,growth_speed
464,R3,R3_celesta,106.0,1.5,27,growth,10600,10699,83,B5,80,2,8,D dorian,0.55418145291945,0.00946710631570578,0.7740838488929445,0.7752303691294854,-1,2,0.7688041500344387,0.7740838488929445,0.55418145291945,0.7688041500344387,0.5184907936556125,0.00946710631570578
61,R1,R1_marimba,107.0,1.0,27,growth,10700,10799,45,A2,58,0,12,D dorian,0.4353771240453882,0.007255106652834767,0.32783141486701606,0.32744116541440405,1,2,0.5193454174503953,0.32783141486701606,0.4353771240453882,0.5193454174503953,0.26664763217965476,0.007255106652834767
465,R3,R3_celesta,107.0,1.5,27,growth,10700,10799,84,C6,80,2,8,D dorian,0.5541269644386532,0.017508941876499626,0.7753098923653741,0.775241935284555,1,2,0.7687782220839181,0.7753098923653741,0.5541269644386532,0.7687782220839181,0.5184726770656324,0.017508941876499626
466,R3,R3_celesta,108.0,1.5,28,growth,10800,10899,79,G5,80,2,8,D dorian,0.5545464417177562,0.003568623961560581,0.7747571685912409,0.7752140733101,-1,2,0.7687965739377203,0.7747571685912409,0.5545464417177562,0.7687965739377203,0.5185013280561968,0.003568623961560581
467,R3,R3_celesta,109.0,1.5,28,growth,10900,10999,74,D5,80,2,8,D dorian,0.5546432237808779,0.019573491690301092,0.7748508407299244,0.7750440960972483,-1,2,0.768780564858784,0.7748508407299244,0.5546432237808779,0.768780564858784,0.5184927273122611,0.019573491690301092
265,R2,R2_harp,110.0,1.0,28,growth,11000,11099,65,F4,73,1,46,D dorian,0.4044965820895399,0.0074301172999263945,0.3664873781844712,0.36534491859794416,1,2,0.5273277424263247,0.3664873781844712,0.4044965820895399,0.5273277424263247,0.44461018230011673,0.0074301172999263945
468,R3,R3_celesta,110.0,1.5,28,growth,11000,11099,72,C5,80,2,8,D dorian,0.5545395289797597,0.0014153526128432546,0.7745690636010614,0.7752399201794506,-1,2,0.7687822974334764,0.7745690636010614,0.5545395289797597,0.7687822974334764,0.5185166242519198,0.0014153526128432546
266,R2,R2_harp,111.0,1.0,28,growth,11100,11199,69,A4,73,1,46,D dorian,0.40439008833963214,0.005139888968686458,0.3659480300852233,0.3652846919107903,1,2,0.5273070209952185,0.3659480300852233,0.40439008833963214,0.5273070209952185,0.4446031751294118,0.005139888968686458
267,R2,R2_harp,112.0,1.0,29,growth,11200,11299,71,B4,73,1,46,D dorian,0.40465013732098704,0.0024821217131701287,0.3662240400917971,0.36555478744134273,1,2,0.5274061314410978,0.3662240400917971,0.40465013732098704,0.5274061314410978,0.4446015968518447,0.0024821217131701287
469,R3,R3_celesta,112.0,1.5,29,growth,11200,11299,77,F5,80,2,8,D dorian,0.5541047444897081,0.018406233556682954,0.775537231984184,0.7754580996391159,1,2,0.76878361243806,0.775537231984184,0.5541047444897081,0.76878361243806,0.5185290519640156,0.018406233556682954
62,R1,R1_marimba,113.0,1.0,29,growth,11300,11399,50,D3,58,0,12,D dorian,0.43540759214716157,0.014504532594634348,0.32807770954350896,0.3276865959139518,1,2,0.5191114180005072,0.32807770954350896,0.43540759214716157,0.5191114180005072,0.2666725150573652,0.014504532594634348
63,R1,R1_marimba,114.0,1.0,29,growth,11400,11499,55,G3,58,0,12,D dorian,0.4353278729936781,0.012556218384748533,0.32846651201168703,0.32789827366297386,1,2,0.5192211713917326,0.32846651201168703,0.4353278729936781,0.5192211713917326,0.2666907158179657,0.012556218384748533
268,R2,R2_harp,114.0,1.0,29,growth,11400,11499,65,F4,73,1,46,D dorian,0.40504968302417,0.004355106677444119,0.3651841972797732,0.365691111584176,-1,2,0.5273929233652619,0.3651841972797732,0.40504968302417,0.5273929233652619,0.4446347829272302,0.004355106677444119
470,R3,R3_celesta,114.0,1.5,29,growth,11400,11499,79,G5,80,2,8,D dorian,0.5541527372453918,8.844061852691938e-05,0.7767736941165848,0.775751548894956,1,2,0.7688177551303239,0.7767736941165848,0.5541527372453918,0.7688177551303239,0.518521613043529,8.844061852691938e-05
64,R1,R1_marimba,115.0,1.0,29,growth,11500,11599,50,D3,58,0,12,D dorian,0.4354282752321535,0.014925984106979795,0.32625584296531024,0.32794733256921105,-1,2,0.5194054412344253,0.32625584296531024,0.4354282752321535,0.5194054412344253,0.2666904672488604,0.014925984106979795
471,R3,R3_celesta,115.0,1.5,29,growth,11500,11599,74,D5,80,2,8,D dorian,0.5546101957779255,0.015608544375785028,0.7751392462970013,0.7757079569407148,-1,2,0.7688194369182765,0.7751392462970013,0.5546101957779255,0.7688194369182765,0.5185094784372922,0.015608544375785028
65,R1,R1_marimba,116.0,1.0,30,growth,11600,11699,55,G3,58,0,12,D dorian,0.43535355486648586,0.005600938203182682,0.32931155129781914,0.32786953142153286,1,2,0.5192468575089412,0.32931155129781914,0.43535355486648586,0.5192468575089412,0.2666634157247911,0.005600938203182682
269,R2,R2_harp,116.0,1.0,30,growth,11600,11699,69,A4,73,1,46,D dorian,0.40444409193320463,0.0003395301408811717,0.3669713228669437,0.36556884104456683,1,2,0.52732215129983,0.3669713228669437,0.40444409193320463,0.52732215129983,0.44460268205222,0.0003395301408811717
472,R3,R3_celesta,116.0,1.5,30,growth,11600,11699,79,G5,80,2,8,D dorian,0.554472535408388,1.0929366813710599e-06,0.7762181100983041,0.7757007837716707,1,2,0.7687878866763191,0.7762181100983041,0.554472535408388,0.7687878866763191,0.5185157650334244,1.0929366813710599e-06
66,R1,R1_marimba,118.0,1.0,30,growth,11800,11899,50,D3,58,0,12,D dorian,0.43505282179524896,0.008429325627513376,0.32742329133696085,0.32763578246944786,-1,2,0.5192219708040926,0.32742329133696085,0.43505282179524896,0.5192219708040926,0.2666306962094926,0.008429325627513376
67,R1,R1_marimba,119.0,1.0,30,growth,11900,11999,55,G3,58,0,12,D dorian,0.4352724764395667,0.03826728947157758,0.3283043022513617,0.3275797560758392,1,2,0.5192308524560394,0.3283043022513617,0.4352724764395667,0.5192308524560394,0.26666663415345004,0.03826728947157758
68,R1,R1_marimba,120.0,1.0,31,growth,12000,12099,50,D3,58,0,12,D dorian,0.4351937960250204,0.007340505291745076,0.3272128434547824,0.3277020244137302,-1,2,0.5192272964689312,0.3272128434547824,0.4351937960250204,0.5192272964689312,0.26670516903739777,0.007340505291745076
473,R3,R3_celesta,120.0,1.5,31,growth,12000,12099,81,A5,80,2,8,D dorian,0.5545447503792199,0.03524157856966414,0.7760586240185738,0.7751749253757539,1,2,0.7688055852104858,0.7760586240185738,0.5545447503792199,0.7688055852104858,0.5185004256856482,0.03524157856966414
474,R3,R3_celesta,121.0,1.5,31,growth,12100,12199,74,D5,80,2,8,D dorian,0.5546158569525659,0.009168493459622128,0.7744569198442923,0.7750864644028905,-1,2,0.7688113652978215,0.7744569198442923,0.5546158569525659,0.7688113652978215,0.5185258753954796,0.009168493459622128
69,R1,R1_marimba,122.0,1.0,31,growth,12200,12299,55,G3,58,0,12,D dorian,0.4349627976706625,0.008345607146396304,0.3278723551241224,0.3275201402513184,1,2,0.5191863869967882,0.3278723551241224,0.4349627976706625,0.5191863869967882,0.2666792958420508,0.008345607146396304
270,R2,R2_harp,123.0,1.0,31,growth,12300,12399,64,E4,73,1,46,D dorian,0.40496285424569517,0.002026340316335753,0.3628409394663667,0.36520187725344266,-1,2,0.5272775161517856,0.3628409394663667,0.40496285424569517,0.5272775161517856,0.44460213899098866,0.002026340316335753
70,R1,R1_marimba,124.0,1.0,32,growth,12400,12499,50,D3,58,0,12,D dorian,0.4354004693189863,0.02125739761404892,0.32735625800632867,0.3276385379731315,-1,2,0.5192685287041024,0.32735625800632867,0.4354004693189863,0.5192685287041024,0.26668023297515436,0.02125739761404892
271,R2,R2_harp,124.0,1.0,32,growth,12400,12499,69,A4,73,1,46,D dorian,0.40515741234576436,0.009173197908524697,0.36547331358199797,0.3652670096277568,1,2,0.5274173440233376,0.36547331358199797,0.40515741234576436,0.5274173440233376,0.4445988262255464,0.009173197908524697
475,R3,R3_celesta,124.0,1.5,32,growth,12400,12499,79,G5,80,2,8,D dorian,0.5545504394620836,0.021607318839258895,0.7757697021372019,0.7751024546054976,1,2,0.7688146371135092,0.7757697021372019,0.5545504394620836,0.7688146371135092,0.5185065987015812,0.021607318839258895
272,R2,R2_harp,126.0,1.0,32,growth,12600,12699,64,E4,73,1,46,D dorian,0.40468889228081206,0.016945865720663877,0.3647703500652287,0.3649800898702456,-1,2,0.5273884488446549,0.3647703500652287,0.40468889228081206,0.5273884488446549,0.44464375750530777,0.016945865720663877
476,R3,R3_celesta,126.0,1.5,32,growth,12600,12699,81,A5,80,2,8,D dorian,0.5544735742604896,0.0042615160604688425,0.7766992083553946,0.7751607345427511,1,2,0.7688024109878003,0.7766992083553946,0.5544735742604896,0.7688024109878003,0.5185115725980249,0.0042615160604688425
71,R1,R1_marimba,127.0,1.0,32,growth,12700,12799,55,G3,58,0,12,D dorian,0.43541661277733823,0.004104404978536113,0.327981986636231,0.3277372695072558,1,2,0.519254419896486,0.327981986636231,0.43541661277733823,0.519254419896486,0.26669384396802975,0.004104404978536113
273,R2,R2_harp,127.0,1.0,32,growth,12700,12799,67,G4,73,1,46,D dorian,0.4045095329454257,0.0,0.3668032720606338,0.36509783544042806,1,2,0.5273645810025751,0.3668032720606338,0.4045095329454257,0.5273645810025751,0.44465447992065227,0.0
477,R3,R3_celesta,127.0,1.5,32,growth,12700,12799,76,E5,80,2,8,D dorian,0.5542567366597686,0.003600413518544666,0.7752920099482663,0.7753286296834455,-1,2,0.7687672194148094,0.7752920099482663,0.5542567366597686,0.7687672194148094,0.5185154435942686,0.003600413518544666
