batch,beat_start,beat_duration,pitch_midi,velocity,section
R3,149.75,0.3749265463130682,84,67,growth
R1,150.0,0.3157913005027345,60,66,growth
R2,150.0,0.9446086104651764,65,63,growth
R3,150.0,0.24834940085817375,74,64,growth
R1,150.5,0.3157913005027345,67,66,growth
R3,150.5,0.24834940085817375,65,64,growth
R1,150.75,0.3157913005027345,72,66,growth
R3,150.75,0.24834940085817375,62,64,growth
R1,151.0,0.31559252916251657,72,70,growth
R3,151.0,0.24837026910347576,62,60,growth
R1,151.5,0.31559252916251657,72,70,growth
R3,151.5,0.24837026910347576,62,60,growth
R1,151.75,0.31559252916251657,72,70,growth
R3,151.75,0.24837026910347576,62,60,growth
R1,152.0,0.31552392546357605,72,70,growth
R2,152.0,0.9448858803357715,57,61,growth
R3,152.0,0.2483981268623149,62,60,growth
R1,152.5,0.31552392546357605,72,70,growth
R3,152.5,0.2483981268623149,62,60,growth
R1,152.75,0.31552392546357605,72,70,growth
R3,152.75,0.2483981268623149,62,60,growth
R1,153.0,1.0,69,70,growth
R2,153.0,1.0,57,61,growth
R3,153.0,1.0,62,60,growth
R1,154.0,1.0,69,70,growth
R2,154.0,1.0,57,61,growth
R1,155.0,1.0,65,70,growth
R2,155.0,1.0,57,61,growth
R3,155.0,1.0,67,60,growth
R1,156.0,1.0,60,70,growth
R2,156.0,1.0,57,61,growth
R3,156.0,1.0,62,60,growth
R1,157.0,1.0,62,70,growth
R2,157.0,1.0,57,61,growth
R3,157.0,1.0,67,60,growth
R1,158.0,1.0,60,70,growth
R2,158.0,1.0,62,61,growth
R3,158.0,1.0,67,60,growth
R2,159.0,1.0,65,61,growth
R1,160.0,1.0,60,76,bloom
R3,160.0,1.0,62,65,bloom
R1,161.0,1.0,65,76,bloom
R3,161.0,1.0,62,65,bloom
R1,162.0,1.0,60,76,bloom
R2,162.0,1.0,60,66,bloom
R3,162.0,1.0,67,65,bloom
R1,163.0,1.0,65,76,bloom
R3,163.0,1.0,62,65,bloom
R1,164.0,1.0,60,76,bloom
R1,165.0,1.0,65,76,bloom
R2,165.0,1.0,65,66,bloom
R3,165.0,1.0,69,65,bloom
R1,166.0,1.0,60,76,bloom
R3,166.0,1.0,65,65,bloom
R1,167.0,1.0,65,76,bloom
R3,167.0,1.0,67,65,bloom
R1,168.0,1.0,65,76,bloom
R2,168.0,1.0,60,66,bloom
R3,168.0,1.0,62,65,bloom
R1,169.0,1.0,60,76,bloom
R2,169.0,1.0,60,66,bloom
R3,169.0,1.0,62,65,bloom
R1,170.0,1.0,62,76,bloom
R2,170.0,1.0,65,66,bloom
R3,170.0,1.0,67,65,bloom
R3,171.0,1.0,62,65,bloom
R1,172.0,1.0,62,76,bloom
R2,173.0,1.0,60,66,bloom
R3,173.0,1.0,62,65,bloom
R2,174.0,1.0,65,66,bloom
R3,174.0,1.0,67,65,bloom
R1,175.0,1.0,60,76,bloom
R2,175.0,1.0,65,66,bloom
R3,175.0,1.0,65,65,bloom
R1,176.0,1.0,57,76,bloom
R2,176.0,1.0,65,66,bloom
R3,176.0,1.0,65,65,bloom
R1,177.0,1.0,62,76,bloom
R2,177.0,1.0,65,66,bloom
R3,177.0,1.0,67,65,bloom
R1,178.0,1.0,62,76,bloom
R3,178.0,1.0,69,65,bloom
R1,179.0,1.0,60,76,bloom
R2,179.0,1.0,60,66,bloom
R3,179.0,1.0,65,65,bloom
R2,180.0,1.0,60,66,bloom
R3,180.0,1.0,62,65,bloom
R1,181.0,1.0,65,76,bloom
R2,181.0,1.0,60,66,bloom
R3,181.0,1.0,67,65,bloom
R1,182.0,1.0,65,76,bloom
R3,182.0,1.0,67,65,bloom
R1,183.0,1.0,62,76,bloom
R3,183.0,1.0,62,65,bloom
R1,184.0,1.0,60,76,bloom
R2,185.0,1.0,60,66,bloom
R3,185.0,1.0,67,65,bloom
R3,186.0,1.0,69,65,bloom
R2,187.0,1.0,60,66,bloom
R3,187.0,1.0,69,65,bloom
R1,188.0,1.0,62,76,bloom
R2,188.0,1.0,60,66,bloom
R3,188.0,1.0,65,65,bloom
R1,189.0,1.0,65,76,bloom
R2,189.0,1.0,60,66,bloom
R2,190.0,1.0,62,66,bloom
R2,191.0,1.0,65,66,bloom
R3,191.0,1.0,65,65,bloom
R1,192.0,1.0,60,76,bloom
R2,192.0,1.0,65,66,bloom
R3,192.0,1.0,67,65,bloom
R2,193.0,1.0,62,66,bloom
R3,193.0,1.0,62,65,bloom
R1,194.0,1.0,65,76,bloom
R1,195.0,1.0,62,76,bloom
R3,196.0,1.0,62,65,bloom
R2,197.0,1.0,60,66,bloom
R3,197.0,1.0,62,65,bloom
R1,198.0,0.3159171162554621,55,76,bloom
R2,198.0,0.274087297167543,57,66,bloom
R3,198.0,0.24863575879098998,62,65,bloom
R1,198.5,0.3159171162554621,50,76,bloom
R2,198.5,0.274087297167543,57,66,bloom
R3,198.5,0.24863575879098998,62,65,bloom
R1,198.75,0.3159171162554621,50,76,bloom
R2,198.75,0.274087297167543,57,66,bloom
R3,198.75,0.24863575879098998,62,65,bloom
R1,199.0,0.31570917572360224,50,79,bloom
R2,199.0,0.2742270733265325,57,71,bloom
